headline,publisher,date,stock
Office location announced,WSJ,2024-03-22,V
Stock upgraded by multiple analysts,WSJ,2024-02-06,AMZN
Company misses revenue estimates - Breaking,FT,2024-12-09,MSFT
Profit warning issued for next quarter,CNBC,2024-07-19,GOOGL
Office expansion plans revealed - Breaking,Reuters,2024-02-11,TSLA
Record quarterly revenue reported,MarketWatch,2024-11-20,V
Patent application filed,Reuters,2024-08-02,NVDA
Hiring new CFO,Reuters,2024-04-14,META
Quarterly report scheduled for next week - Update,WSJ,2024-10-31,AAPL
Credit rating downgraded,FT,2024-10-13,MSFT
Record quarterly revenue reported,Bloomberg,2024-01-14,AMZN
New product launch exceeds expectations,Seeking Alpha,2024-06-02,AMZN
Profit warning issued for next quarter,WSJ,2024-07-26,META
Analyst downgrades to Sell,Seeking Alpha,2024-08-17,JNJ
Profit margins expand significantly,Bloomberg,2024-01-10,JNJ
Dividend increased by 15%,MarketWatch,2024-10-03,AAPL
Regulatory investigation launched,FT,2024-05-17,NVDA
Record quarterly revenue reported - Breaking,Seeking Alpha,2024-02-02,MSFT
Dividend increased by 15% - Breaking,WSJ,2024-03-05,AAPL
Profit margins expand significantly,Reuters,2024-01-28,NVDA
Profit warning issued for next quarter,Reuters,2024-12-19,JNJ
Company beats revenue estimates by wide margin,Seeking Alpha,2024-10-13,AAPL
Regulatory investigation launched - Update,FT,2024-11-10,MSFT
Profit margins expand significantly,MarketWatch,2024-01-20,V
"Analyst upgrades to Buy, raises price target",WSJ,2024-12-21,META
Patent application filed - Update,Yahoo Finance,2024-08-02,JNJ
"Analyst upgrades to Buy, raises price target - Breaking",Yahoo Finance,2024-11-21,MSFT
"Analyst upgrades to Buy, raises price target",Seeking Alpha,2024-04-15,AAPL
Company announces routine board meeting,Bloomberg,2024-01-15,TSLA
Analyst downgrades to Sell - Breaking,FT,2024-04-23,GOOGL
Regulatory investigation launched,CNBC,2024-04-26,AMZN
Worst quarter in company history - Update,Bloomberg,2024-11-25,MSFT
Patent application filed,Yahoo Finance,2024-04-24,JNJ
Quarterly report scheduled for next week,FT,2024-11-21,AMZN
Patent application filed,MarketWatch,2024-05-24,GOOGL
Company hires new marketing director,Yahoo Finance,2024-11-14,V
Partnership announced with industry leader,MarketWatch,2024-06-02,JPM
Executive to speak at conference - Exclusive,Bloomberg,2024-06-17,AMZN
Quarterly report scheduled for next week,Reuters,2024-11-17,MSFT
Profit warning issued for next quarter,FT,2024-06-17,TSLA
Executive to speak at conference,CNBC,2024-10-23,MSFT
Board approves $5 billion share buyback,Seeking Alpha,2024-06-04,TSLA
Record quarterly revenue reported,Bloomberg,2024-05-11,GOOGL
Office location announced - Exclusive,Yahoo Finance,2024-02-07,AAPL
Profit warning issued for next quarter,CNBC,2024-09-09,V
Company beats revenue estimates by wide margin,WSJ,2024-08-26,MSFT
Lawsuit filed against company - Breaking,Seeking Alpha,2024-06-18,JNJ
Supply chain disruptions impact production,MarketWatch,2024-09-09,GOOGL
Partnership announced with industry leader,MarketWatch,2024-01-03,GOOGL
Analyst downgrades to Sell,Reuters,2024-08-15,AAPL
CEO resigns effective immediately - Breaking,Yahoo Finance,2024-06-13,AMZN
Company beats revenue estimates by wide margin,Yahoo Finance,2024-07-21,AMZN
Partnership announced with industry leader,WSJ,2024-12-23,TSLA
Worst quarter in company history,WSJ,2024-05-18,V
New product launch exceeds expectations,FT,2024-10-30,JNJ
Board approves $5 billion share buyback,MarketWatch,2024-11-09,GOOGL
Hiring new CFO - Update,FT,2024-01-28,TSLA
"Analyst upgrades to Buy, raises price target",Yahoo Finance,2024-07-23,JNJ
Record quarterly revenue reported - Update,Seeking Alpha,2024-03-24,AAPL
Lawsuit filed against company - Breaking,FT,2024-09-07,MSFT
Lawsuit filed against company,Seeking Alpha,2024-08-31,GOOGL
Company hires new marketing director - Breaking,Seeking Alpha,2024-02-28,TSLA
Lawsuit filed against company,CNBC,2024-02-18,GOOGL
Executive to speak at conference,CNBC,2024-11-27,MSFT
Credit rating reaffirmed,Yahoo Finance,2024-04-03,AAPL
Company misses revenue estimates,MarketWatch,2024-09-27,AMZN
Stock upgraded by multiple analysts,Yahoo Finance,2024-09-05,META
Analyst downgrades to Sell,MarketWatch,2024-07-08,V
Worst quarter in company history,Reuters,2024-12-04,MSFT
Executive to speak at conference,Seeking Alpha,2024-10-07,V
"Analyst upgrades to Buy, raises price target",FT,2024-02-24,V
Partnership announced with industry leader,Seeking Alpha,2024-04-25,AAPL
Executive to speak at conference,Yahoo Finance,2024-09-26,AMZN
Supply chain disruptions impact production,Bloomberg,2024-03-07,JNJ
Lawsuit filed against company - Update,CNBC,2024-02-26,AAPL
Profit margins expand significantly,Reuters,2024-12-14,GOOGL
Regulatory investigation launched,WSJ,2024-06-06,AMZN
Profit margins expand significantly,Bloomberg,2024-02-10,NVDA
Patent application filed,MarketWatch,2024-09-07,TSLA
Profit warning issued for next quarter,WSJ,2024-11-02,AMZN
Lawsuit filed against company,Reuters,2024-07-09,GOOGL
Record quarterly revenue reported,MarketWatch,2024-04-18,AMZN
Stock hits all-time high after strong earnings,CNBC,2024-05-07,V
Stock upgraded by multiple analysts,Yahoo Finance,2024-12-30,MSFT
Office location announced,FT,2024-03-03,AMZN
Office expansion plans revealed,Reuters,2024-01-11,V
Office location announced - Exclusive,Reuters,2024-12-20,AMZN
Lawsuit filed against company,Reuters,2024-10-07,JPM
Profit margins expand significantly,CNBC,2024-05-26,NVDA
Record quarterly revenue reported,Bloomberg,2024-05-23,AAPL
"Analyst upgrades to Buy, raises price target",Reuters,2024-12-11,JNJ
Office expansion plans revealed - Breaking,MarketWatch,2024-06-20,JPM
Regulatory investigation launched,CNBC,2024-03-12,MSFT
"Analyst upgrades to Buy, raises price target",CNBC,2024-08-02,AAPL
Partnership announced with industry leader,WSJ,2024-12-27,AAPL
New product launch exceeds expectations,Seeking Alpha,2024-08-12,AAPL
Patent application filed,MarketWatch,2024-07-10,AMZN
Regulatory investigation launched,Bloomberg,2024-05-31,JPM
Stock plunges on disappointing earnings,MarketWatch,2024-09-22,V
Annual shareholder meeting announced,WSJ,2024-05-07,AAPL
Lawsuit filed against company,Bloomberg,2024-11-14,TSLA
Office location announced - Exclusive,Yahoo Finance,2024-08-18,AAPL
Board approves $5 billion share buyback,FT,2024-11-25,META
Worst quarter in company history,MarketWatch,2024-02-27,V
Stock upgraded by multiple analysts,FT,2024-10-21,TSLA
Quarterly report scheduled for next week,CNBC,2024-07-31,AMZN
Profit margins expand significantly - Exclusive,Reuters,2024-08-18,JNJ
Company hires new marketing director,MarketWatch,2024-04-18,JPM
Analyst downgrades to Sell,CNBC,2024-08-05,AAPL
Profit warning issued for next quarter,Reuters,2024-03-02,MSFT
Stock plunges on disappointing earnings,Bloomberg,2024-03-30,JPM
Board approves $5 billion share buyback,MarketWatch,2024-10-14,META
Stock upgraded by multiple analysts - Update,Reuters,2024-10-13,NVDA
Record quarterly revenue reported,CNBC,2024-10-17,AAPL
Company announces routine board meeting,WSJ,2024-10-16,V
Company beats revenue estimates by wide margin,Seeking Alpha,2024-09-18,TSLA
Stock hits all-time high after strong earnings,CNBC,2024-08-12,TSLA
Executive to speak at conference - Exclusive,Yahoo Finance,2024-05-26,META
Worst quarter in company history,WSJ,2024-12-19,META
Patent application filed - Update,MarketWatch,2024-03-13,TSLA
Hiring new CFO,Yahoo Finance,2024-12-13,JNJ
Hiring new CFO - Exclusive,WSJ,2024-02-20,GOOGL
Company announces routine board meeting,CNBC,2024-10-06,JNJ
Company misses revenue estimates - Breaking,WSJ,2024-12-21,JNJ
Company hires new marketing director,WSJ,2024-03-01,AMZN
Stock upgraded by multiple analysts,CNBC,2024-04-20,MSFT
Office expansion plans revealed,Yahoo Finance,2024-10-08,JPM
Company beats revenue estimates by wide margin,Bloomberg,2024-06-30,AAPL
Company hires new marketing director - Exclusive,MarketWatch,2024-07-14,V
Profit margins expand significantly,Seeking Alpha,2024-02-07,MSFT
Credit rating downgraded,Bloomberg,2024-12-24,JNJ
Board approves $5 billion share buyback,Reuters,2024-12-04,TSLA
Quarterly report scheduled for next week,CNBC,2024-10-13,AMZN
Patent application filed - Breaking,Reuters,2024-01-23,JPM
Board approves $5 billion share buyback,WSJ,2024-10-09,TSLA
Office expansion plans revealed,MarketWatch,2024-02-16,V
Regulatory investigation launched,CNBC,2024-12-30,JNJ
Executive to speak at conference,FT,2024-03-13,JNJ
New product launch exceeds expectations,Seeking Alpha,2024-09-30,AAPL
Company hires new marketing director,Bloomberg,2024-11-24,V
Company beats revenue estimates by wide margin,Yahoo Finance,2024-08-04,MSFT
Hiring new CFO,Seeking Alpha,2024-07-17,AMZN
Supply chain disruptions impact production,FT,2024-08-09,NVDA
Regulatory investigation launched,Seeking Alpha,2024-01-04,V
Stock hits all-time high after strong earnings - Breaking,Yahoo Finance,2024-03-14,AAPL
New product launch exceeds expectations - Breaking,Seeking Alpha,2024-01-21,V
Stock plunges on disappointing earnings,Reuters,2024-04-27,META
Company misses revenue estimates,MarketWatch,2024-10-19,MSFT
Worst quarter in company history,MarketWatch,2024-11-20,JNJ
New product launch exceeds expectations,Seeking Alpha,2024-02-17,JNJ
Supply chain disruptions impact production,FT,2024-02-29,AAPL
Stock hits all-time high after strong earnings,Yahoo Finance,2024-01-25,JNJ
Company misses revenue estimates,Reuters,2024-12-22,V
Office location announced - Update,MarketWatch,2024-02-25,AAPL
Analyst downgrades to Sell,Seeking Alpha,2024-03-29,AAPL
Office expansion plans revealed,Bloomberg,2024-08-21,GOOGL
Lawsuit filed against company,CNBC,2024-01-02,V
Hiring new CFO,Yahoo Finance,2024-03-01,AAPL
Lawsuit filed against company,WSJ,2024-05-10,V
Supply chain disruptions impact production,Bloomberg,2024-10-19,JNJ
Regulatory investigation launched,CNBC,2024-09-03,AMZN
Board approves $5 billion share buyback,Seeking Alpha,2024-03-20,MSFT
Stock hits all-time high after strong earnings,Reuters,2024-08-01,AAPL
Office location announced,FT,2024-09-27,GOOGL
Annual shareholder meeting announced,FT,2024-07-04,V
Annual shareholder meeting announced - Update,FT,2024-02-15,TSLA
Stock upgraded by multiple analysts,WSJ,2024-11-03,NVDA
Office expansion plans revealed,Seeking Alpha,2024-10-18,META
Executive to speak at conference,Reuters,2024-11-26,GOOGL
Record quarterly revenue reported,FT,2024-02-12,GOOGL
Annual shareholder meeting announced,Reuters,2024-02-04,AMZN
